Region,HT Name, HT LAT, HT LONG, GEO NAME, GEO LAT, GEO LONG
Britannia, Tamia, 25, 59 20, Tamia, 25, 59 20
Britannia, Eborakon, 20, 57 20, Eboracum, 20, 57 20
Britannia, Londinion, 20, 54, Londinium, 20, 54
Britannia,Kamoulodonon,21,55,Camulodunum,21,55
Britannia,Katouraktonion,20,58,Caturactonium,20,58
Italy, Neopolis, 40, 40 35, Neopolis, 40, 40 55
Italy, Rome, 36 40, 41 50, Rome, 36 40, 41 40
Italy, Rabenna, 34 40, 44, Ravenna, 34 40, 40
Italy, Tarrakeinai, 37 45, 41 15, Tarracinae, 37 45, 41 15
Italy, Tarras, 41 30, 40, Tarentum, 41 30, 40
Sicily, Messene, 39 30, 38 20, Messena, 39 30, 39 30
Sicily, Kentourinai,38 30, 37 50, Centuripa, 38 30, 37 50
Sicily, Segestra, 37 5, 36 30, Segesta, 37 5, 36 30
Sicily, Panormos, 37, 37, Panormus, 37, 37
Sicily, Syrakoysion, 39 30, 37, Syracusa, 39 30, 37
Thrace, Byzantion, 56, 43 5, Byzantium, 56, 43 5
Thrace, Perinthos, 54 50, 42 20, Perinthus, 54 50, 42 20
Thrace, Apollonia, 54 50, 44 15, Apollonia, 54 50, 44 20  
Thrace, Abdera, 52 10, 41 45, Abdera, 52 10, 41 45
Thrace, Lysimachia, 54 10, 41 30, Lysimachia, 54 10, 41 30
Aethiopia, Chersonesos,65, 22,Chersonesus,65,22
Aethiopia,Napata,63,20 15,Napata,63,20 15
Aethiopia, Meroe, 61 30, 16 25, Meroe, 61 30, 16 25
Aethiopia, Ptolemais Thebon,66,16 30,Ptolemais Venationum,66, 16 25
Aethiopia,Adoulis,67,11 40,Adulis, 67,11 40
Gallia,Gesoriakon,22 30,53 30,Gesoriacum Naval Station of the Morini, 22 30, 53 30
Gallia,Dourokotoron,23 45,48 30,Durocottorum,23 45, 48 30
Gallia,Messalia Trikoro, 24 30,43 5,Massilia City,24 30,43 5
Gallia,Narbon,21 30,43 15,Narbon Colonia,21 30,43 15
Gallia,Nemausos,22,44 30,Nemausum Colonia,22,44 30
Mesopotamia,Nessibbis,75 30,37 45,Nisibis,75 10,37 30
Mesopotamia,Aidessa,72 30,37 30,Edessa,72 30,37 30
Mesopotamia,Nikephorion,73 5,35 20,Nicephorium,73 5,35 20
Mesopotamia,Lambana,77 50,34 20,Lambana,77 50,36 30
Egypt,Paraitonion,57,31 10,Paraetonium,57,31 10
Egypt,Alexandria,60 30,31,Alexandria,60 30,31
Egypt,Pelousion,63 30,31 15,Pelusium City,63 15, 31 10
Egypt,Ptolemaisermou,61 50,27 10,Ptolemais, 61 40,29 20
Egypt,Soene,62,23 50,Syene,62,23 50
Cyprus,Salamis,66 40,35 30,Salamis,66 40,35 20
Cyprus,Amathous,65 45,35,Amathus,65 45,35
Dacia,Zarmizegethousa,47 30,45 20,Zarmizegethusa Regia,47 50,45 15
